value,property,files
Rockall I.,name_sort,ne_10m_admin_0_disputed_areas.geojson
S. Georgia,name,ne_10m_admin_0_disputed_areas.geojson;ne_50m_admin_0_map_subunits.geojson
South Georgia,name_long,ne_10m_admin_0_disputed_areas.geojson;ne_50m_admin_0_map_subunits.geojson
S. Georgia,brk_name,ne_10m_admin_0_disputed_areas.geojson;ne_50m_admin_0_map_subunits.geojson
South Georgia,name_sort,ne_10m_admin_0_disputed_areas.geojson;ne_50m_admin_0_map_subunits.geojson
S. Sandwich Is.,name,ne_10m_admin_0_disputed_areas.geojson;ne_50m_admin_0_map_subunits.geojson
South Sandwich Islands,name_long,ne_10m_admin_0_disputed_areas.geojson;ne_50m_admin_0_map_subunits.geojson
S. Sandwich Is.,brk_name,ne_10m_admin_0_disputed_areas.geojson;ne_50m_admin_0_map_subunits.geojson
South Sandwich Islands,name_sort,ne_10m_admin_0_disputed_areas.geojson;ne_50m_admin_0_map_subunits.geojson
Navassa I.,name,ne_10m_admin_0_disputed_areas.geojson
